i i
n n
t t
r r
o o
d x
u u
c c
t t
i i
o i
n n
_ _
t t
h h
e e
_ _
i i
n b
d d
u u
s d
t t
r r
i i
a a
l l
_ _
r r
e e
v v
o o
l k
u u
t f
i u
o o
n n
_ _
a a
n n
d f
_ _
i i
t t
s s
_ _
c c
o o
n n
s s
e e
q q
u u
e e
n n
c c
e e
s s
_ _
h y
a s
v f
e e
_ _
b b
e e
e e
n n
_ _
a a
_ _
d d
i i
s s
a a
s s
t t
e e
r r
_ _
f f
o o
r r
_ _
t t
h h
e e
_ _
h h
u y
m m
a a
n n
_ _
r r
a a
c c
e e
_ _
t t
h y
e e
y y
_ _
h h
a a
v b
e e
_ _
g h
r r
e e
a z
t t
l o
y y
_ _
i i
n n
c c
r r
e e
a a
s s
e r
d s
_ _
t t
h h
e e
_ _
l l
i i
f f
e e
_ _
e e
x x
p p
e d
c c
t t
a a
n n
c c
y y
_ _
o o
f f
_ _
t t
h h
o o
s s
e e
_ _
o o
f f
_ _
u u
s s
_ _
w w
h h
o o
_ _
l l
i i
v v
e e
_ _
i j
n n
_ _
a a
d d
v v
a a
n n
c c
e e
d d
_ _
c c
o l
u u
n n
t t
r r
i i
e e
s s
_ _
b b
u u
t t
_ _
t t
h j
e e
y y
_ _
h h
a a
v v
e e
_ _
d f
e e
s s
t t
a a
b b
i i
l l
i o
z s
e e
d d
_ _
s s
o o
c c
i i
e e
t t
y y
_ _
h h
a a
v v
e e
_ _
m m
a a
d d
e e
_ _
l l
i k
f f
e e
_ _
u u
n n
f f
u u
l l
f f
i i
l l
l l
i i
n n
g g
_ _
h h
a a
v v
e e
_ _
s s
u u
b b
j m
e e
c c
t t
e e
d d
_ _
h h
u u
m m
a a
n n
_ _
b b
e e
i i
n h
g g
s s
_ _
t g
o o
_ _
i i
n n
d d
i i
g g
n n
i i
t t
i i
e e
s s
_ _
h h
a a
v v
e e
_ _
l l
e e
d d
_ _
t t
o o
_ _
w w
i i
d x
e e
s s
p p
r r
e d
a a
d d
_ _
p p
s s
y y
c c
h b
o o
l l
o o
g g
i i
c c
a z
l l
_ _
s s
u u
f f
f f
e e
r r
i i
n n
g f
_ _
i i
n m
_ _
t t
h h
e e
_ _
t r
h h
i i
r r
d f
_ _
w w
o o
r r
l l
d d
_ _
t t
o o
_ _
p o
h h
y y
s s
i u
c c
a a
l l
_ _
s s
u u
f f
f f
e e
r r
i i
n n
g g
_ _
a a
s s
_ _
w w
e e
l l
l p
_ _
a a
n n
d d
_ _
h h
a a
v v
e e
_ _
i i
n n
f c
l l
i i
c c
t t
e e
d d
_ _
s s
e e
v v
e e
r r
e e
_ _
d d
a a
m m
a a
g g
e e
_ _
o o
n n
_ _
t t
h h
e e
_ _
n n
a a
t t
u u
r r
a a
l l
_ _
w w
o o
r r
l l
d d
_ _
t t
h h
e e
_ _
c d
o o
n n
t t
i i
n n
u u
e e
d d
_ _
d e
e e
v v
e e
l l
o o
p p
m m
e e
n n
t t
_ _
o o
f f
_ _
t t
e e
c c
h h
n b
o o
l l
o o
g g
y y
_ _
w w
i i
l l
l l
_ _
w w
o o
r r
s s
e e
n m
_ _
t t
h h
e e
_ _
s s
i i
t t
u u
a a
t t
i k
o o
n n
_ _
i i
t t
_ _
w w
i u
l p
l l
_ _
c v
e e
r r
t t
a a
i i
n n
l l
y y
_ _
s s
u u
b b
j j
e e
c c
t t
_ _
h h
u u
m m
a a
n n
_ _
b v
e e
i i
n n
g g
s s
_ _
t t
o o
_ _
g g
r r
e e
a a
t t
e e
r r
_ _
i i
n n
d d
i i
g g
n n
i i
t t
i i
e e
s d
_ _
a a
n n
d d
_ _
i i
n n
f f
l l
i i
c c
t t
_ _
g g
r r
e e
a a
t t
e e
r r
_ _
d d
a a
m m
a a
g t
e e
_ _
o o
n n
_ _
t t
h h
e e
_ _
n n
a a
t t
u u
r r
a a
l l
_ _
w w
o o
r r
l l
d d
_ _
i i
t t
_ _
w a
i i
l l
l l
_ _
p p
r r
o i
b b
a s
b b
l l
y y
_ _
l l
e e
a a
d d
_ _
t t
o o
_ _
g g
r r
e e
a a
t t
e e
r r
_ _
s s
o o
c c
i k
a a
l l
_ _
d d
i i
s s
r r
u u
p p
t r
i i
o o
n n
_ _
a a
n n
d e
_ _
p p
s s
y y
c c
h h
o o
l l
o o
